,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-22
1,44,1250.0,-30.0,-0.0234,1250.0,1250.0,1250.0,0.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1326.25,1546.66,1335.34,0.0,1372.08,1407.21,1246.78,0.0,SIDEWAYS,DOWNTREND,UPTREND,46.6119,-60.7195,0.1441,HIGH,-33.2062,37.1174,-91.6667,12.5,364.67,276.5,16362.0,464794.33,351902.0,White Marubozu,None,Three White Soldiers,-0.0008,-0.2724,-0.0234,8590.0,7110.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-12-03
2,43,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-20
3,44,1250.0,-30.0,-0.0234,1250.0,1250.0,1250.0,0.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1326.25,1546.66,1335.34,0.0,1372.08,1407.21,1246.78,0.0,SIDEWAYS,DOWNTREND,UPTREND,46.6119,-60.7195,0.1441,HIGH,-33.2062,37.1174,-91.6667,12.5,364.67,276.5,16362.0,464794.33,351902.0,White Marubozu,None,Three White Soldiers,-0.0008,-0.2724,-0.0234,8590.0,7110.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-12-09
4,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-06
5,40,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-03
6,44,1250.0,-30.0,-0.0234,1250.0,1250.0,1250.0,0.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1326.25,1546.66,1335.34,0.0,1372.08,1407.21,1246.78,0.0,SIDEWAYS,DOWNTREND,UPTREND,46.6119,-60.7195,0.1441,HIGH,-33.2062,37.1174,-91.6667,12.5,364.67,276.5,16362.0,464794.33,351902.0,White Marubozu,None,Three White Soldiers,-0.0008,-0.2724,-0.0234,8590.0,7110.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-12-02
7,43,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-21
8,44,1275.0,25.0,0.02,1300.0,1275.0,1300.0,-6375.0,1718.0,1250.0,1250.0,1000.0,1718.0,1800.0,1312.5,1546.66,1346.89,0.0,1352.32,1396.1,1247.4,0.0,UPTREND,DOWNTREND,UPTREND,47.2749,-57.5541,0.1246,HIGH,-8.9203,0.0,-94.6581,13.5,349.33,278.0,17654.5,440886.0,353733.25,Black Marubozu,None,None,0.0192,0.02,0.02,-29035.0,-29035.0,-15440.0,4725.0,0.0,-0.86,-1.2051,-1482.56,0.0,6.47,0.0,2019-12-23
9,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-24
10,44,1250.0,-30.0,-0.0234,1250.0,1250.0,1250.0,0.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1326.25,1546.66,1335.34,0.0,1372.08,1407.21,1246.78,0.0,SIDEWAYS,DOWNTREND,UPTREND,46.6119,-60.7195,0.1441,HIGH,-33.2062,37.1174,-91.6667,12.5,364.67,276.5,16362.0,464794.33,351902.0,White Marubozu,None,Three White Soldiers,-0.0008,-0.2724,-0.0234,8590.0,7110.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-11-29
11,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-16
12,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-16
13,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-08-28
14,40,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-09-30
15,44,1250.0,0.0,0.0,1250.0,1250.0,1250.0,-31250.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1318.75,1550.16,1341.14,0.0,1360.46,1401.05,1246.84,0.0,UPTREND,DOWNTREND,UPTREND,46.6119,-58.8927,0.1338,HIGH,-30.2288,7.2222,-100.0,13.0,362.0,277.5,16977.0,460400.0,353114.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0008,0.0,0.0,-22660.0,-16605.0,-9065.0,11100.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-12-10
16,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-08-29
17,42,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-06
18,44,1250.0,0.0,0.0,1250.0,1250.0,1250.0,-31250.0,1718.0,1250.0,1225.0,1000.0,1718.0,1800.0,1318.75,1550.16,1341.14,0.0,1360.46,1401.05,1246.84,0.0,UPTREND,DOWNTREND,UPTREND,46.6119,-58.8927,0.1338,HIGH,-30.2288,7.2222,-100.0,13.0,362.0,277.5,16977.0,460400.0,353114.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0008,0.0,0.0,-22660.0,-16605.0,-9065.0,11100.0,0.0,-0.86,-1.2051,-1453.49,0.0,6.35,0.0,2019-12-12
19,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-04
20,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-09
21,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-18
22,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-17
23,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-08-15
24,42,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-13
25,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-13
26,43,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-26
27,44,1275.0,25.0,0.02,1300.0,1275.0,1300.0,-6375.0,1718.0,1250.0,1250.0,1000.0,1718.0,1800.0,1312.5,1546.66,1346.89,0.0,1352.32,1396.1,1247.4,0.0,UPTREND,DOWNTREND,UPTREND,47.2749,-57.5541,0.1246,HIGH,-8.9203,0.0,-94.6581,13.5,349.33,278.0,17654.5,440886.0,353733.25,Black Marubozu,None,None,0.0192,0.02,0.02,-29035.0,-29035.0,-15440.0,4725.0,0.0,-0.86,-1.2051,-1482.56,0.0,6.47,0.0,2019-12-17
28,42,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-29
29,40,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-09-26
30,42,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-30
31,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-10
32,43,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-22
33,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-10
34,42,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-11-04
35,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-07
36,42,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-15
37,42,1280.0,-438.0,-0.2549,1251.0,1251.0,1280.0,0.0,1800.0,1000.0,1251.0,1000.0,1718.0,1800.0,1333.8,1542.72,1327.34,0.0,1384.93,1413.63,1246.71,0.0,DOWNTREND,DOWNTREND,UPTREND,47.2264,-64.0232,0.1498,HIGH,-25.74,44.798,-86.6667,12.5,366.0,276.75,16363.5,466052.67,352290.0,White Marubozu,None,Three White Soldiers,0.0232,-0.2549,-0.2549,8590.0,22185.0,22185.0,42350.0,0.0,-0.86,-1.2051,-1488.37,0.0,6.5,0.0,2019-11-14
38,40,1251.0,0.0,0.0,1251.0,1251.0,1251.0,0.0,1800.0,1000.0,1000.0,950.5,1481.0,1800.0,1324.0,1536.06,1306.39,0.0,1362.08,1406.88,1236.5,0.0,DOWNTREND,DOWNTREND,UPTREND,45.8334,-77.9029,0.1181,HIGH,-35.2007,40.9583,-68.625,517.0,366.0,308.75,652266.0,465602.33,397185.5,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.1553,0.0,0.0,13595.0,13595.0,33760.0,0.0,-0.25,-0.0417,-5004.0,0.0,6.35,0.0,2019-09-03
39,41,1718.0,467.0,0.3733,1718.0,1718.0,1718.0,8590.0,1800.0,1000.0,1251.0,1000.0,1800.0,2150.0,1339.85,1546.42,1317.57,0.0,1395.98,1419.08,1246.04,0.0,DOWNTREND,DOWNTREND,UPTREND,57.503,-69.6275,0.0993,HIGH,202.2706,50.8118,-10.3145,17.5,366.0,276.0,22625.0,465708.33,351382.0,White Marubozu,None,Three White Soldiers,0.3733,0.3733,0.3733,8590.0,22185.0,22185.0,42350.0,0.0,-0.25,-0.0417,-6872.0,0.0,8.72,0.0,2019-10-15
